Act Name,Act Code
Khaddar (Protection of Name) Act,578
Khadi and Village Industries Commission Act,579
Khuda Bakhsh Oriental Public Library Act,580
King of Oudh's Estate Act,582
King of Oudh's Estate Act,581
King of Oudh's Estate Validation Act,583
Konkan Passenger Ships (Acquisition) Act,584
Kosangas Company (Acquisition of Undertakings) Act,585
Labour Laws (Exemption from Furnishing Returns and  Maintaining Registers by certain Establishments),586
Lady Hardinge Medical College and Hospital (Acquisition and  Miscellaneous Provisions) Act,587
Lalitkala Akademi (Taking Over of Management) Act,588
Land Acquisition Act,589
Land Acquisition (Amendment) Act,590
Land Acquisition (Amendment and Validation) Act,591
Land Acquisition (Mines) Act,592
Land Improvement Loans Act,593
Laws Local Extent Act,594
Laxmirattan and Atherton West Cotton Mills (Taking  over of  Management)Act,595
"Leaders of Chief Whips of Recognised Parties and Groups in  Parliament (Facilities) Act, 1998",596
Legal Practitioners Act,597
Legal Practitioners (Fees) Act,598
Legal Practitioners (Women) Act,599
Legal Representatives' Suits Act,600
Legal Services Authorities Act,601
Legal Tender (Inscribed Notes) Act,602
Legislative Assembly of Nagaland (Change in  Representation)  Act,603
Legislative Councils Act,604
Lepers Act,605
Levy Sugar Price Equalisation Fund Act,606
Life Insurance Corporation Act,607
Life Insurance Corporation (Modification of Settlement) Act,608
Light House Act,609
Limestone and Dolomite Mines Labour Welfare Fund Act,610
Limitation Act,612
Limited Liability Partnership Act,611
Live-stock Importation Act,613
Local Authorities Loans Act,614
Local Authorities Pensions and Gratuities Act,615
Lok Sahayak Sena Act,616
Lotteries (Regulation) Act,617
Lushai Hills District (Change of Name) Act,618
Madhya Pradesh Reorganisation Act,619
"Madras, Bengal and Bombay Children (Supplementary) Act",620
Madras City Civil Court Act,621
Madras City Land Revenue Act,622
Madras Civil Courts Act,623
Madras Compulsory Labour Act,624
Madras District Police Act,625
Madras Forest (Validation) Act,626
Madras Public Property Malversation Act,627
Madras Rent and Revenue Sales Act,628
Madras Revenue Commissioner Act,629
Madras Uncovenated Officers' Act,630
"Mahatama Gandhi Antarashtriya Hindi Vishwavidyalaya Act, 1996",631
